season,candidate,GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,Over_AtOpen,Over_AtClose,2H_HomeSpread,2H_Over,HomeML,AwayML,ht_margin,actual_withot,expected,baseline_err,sqerr
2020/21,4,0022000379,2021-02-09,UTA,BOS,-5.5,-5.5,220.5,222.0,-3.0,111.5,-210,180,1.0,13.0,3.0,10.0,100.0
2020/21,5,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,5,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,5,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,5,0022000394,2021-02-11,POR,PHI,4.5,6.0,229.0,229.0,3.0,112.0,195,-230,-3.0,7.0,-3.0,10.0,100.0
2020/21,6,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,6,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,6,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,6,0022000397,2021-02-12,ATL,SAS,-3.5,-2.5,228.5,225.0,-8.0,115.0,-135,115,-29.0,18.0,8.0,10.0,100.0
2020/21,7,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,7,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,7,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,7,0022000412,2021-02-12,BOS,DET,-8.5,-7.0,219.5,210.5,-6.0,103.5,-350,290,-2.0,-4.0,6.0,-10.0,100.0
2020/21,8,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,8,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,8,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,8,0022000507,2021-02-26,MIA,UTA,6.5,6.5,217.0,220.5,6.0,112.5,210,-250,4.0,4.0,-6.0,10.0,100.0
2020/21,9,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,9,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,9,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,9,0022000538,2021-03-02,MIA,ATL,-4.0,-2.0,220.5,224.0,-3.0,107.5,-130,110,-7.0,-7.0,3.0,-10.0,100.0
2020/21,10,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,10,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,10,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,10,0022000615,2021-03-16,LAL,MIN,24.0,-7.5,9.0,223.5,-5.0,111.0,-350,290,1.0,15.0,5.0,10.0,100.0
2020/21,11,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,11,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,11,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,11,0022000618,2021-03-17,PHI,MIL,3.5,6.0,236.5,235.0,8.0,117.5,200,-240,14.0,-18.0,-8.0,-10.0,100.0
2020/21,12,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,12,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,12,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,12,0022000622,2021-03-17,HOU,GSW,12.5,11.0,226.5,230.5,0.0,113.0,500,-700,-24.0,10.0,-0.0,10.0,100.0
2020/21,13,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,13,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,13,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,13,0022000656,2021-03-22,CHI,UTA,8.5,9.5,231.0,227.5,1.0,116.0,400,-500,-14.0,-11.0,-1.0,-10.0,100.0
2020/21,14,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,14,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,14,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,14,0022000688,2021-03-26,MIN,HOU,-3.5,-4.0,226.0,230.0,-5.0,113.0,-170,150,-9.0,15.0,5.0,10.0,100.0
2020/21,15,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,15,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,15,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,15,0022000854,2021-04-16,DAL,NYK,-4.5,-6.5,212.0,212.0,-6.0,104.0,-250,210,-4.0,-4.0,6.0,-10.0,100.0
2020/21,16,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,16,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,16,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,16,0022000973,2021-05-02,SAS,PHI,5.0,10.0,21.5,219.0,3.0,107.0,450,-600,-9.0,7.0,-3.0,10.0,100.0
2020/21,17,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,17,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,17,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,17,0022001044,2021-05-12,CLE,BOS,10.0,6.0,219.5,222.0,5.0,113.0,210,-250,3.0,5.0,-5.0,10.0,100.0
2020/21,18,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,18,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,18,0022000018,2020-12-23,MIN,DET,-5.5,-5.5,227.0,224.5,-4.5,110.0,-220,190,-1.0,11.0,4.5,6.5,42.25
2020/21,18,0022001059,2021-05-14,GSW,NOP,-4.5,-1.0,231.0,220.0,5.0,108.5,-120,100,18.0,-15.0,-5.0,-10.0,100.0
2020/21,19,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,19,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,19,0022000037,2020-12-27,IND,BOS,-3.0,3.0,219.0,220.5,-0.5,113.0,115,-135,-6.0,7.0,0.5,6.5,42.25
2020/21,19,0022000079,2021-01-02,HOU,SAC,-4.0,2.0,233.0,229.0,2.0,113.0,110,-130,0.0,8.0,-2.0,10.0,100.0
2020/21,20,0022000001,2020-12-22,BKN,GSW,-5.5,-7.5,228.0,234.5,1.0,115.0,-320,265,18.0,8.0,-1.0,9.0,81.0
2020/21,20,0022000010,2020-12-23,CLE,CHA,-1.0,3.0,215.0,217.0,7.0,107.0,120,-140,21.0,-14.0,-7.0,-7.0,49.0
2020/21,20,0022000037,2020-12-27,IND,BOS,-3.0,3.0,219.0,220.5,-0.5,113.0,115,-135,-6.0,7.0,0.5,6.5,42.25
2020/21,20,0022000151,2021-01-11,ORL,MIL,9.0,10.0,224.5,226.0,3.0,116.0,400,-500,-9.0,-13.0,-3.0,-10.0,100.0
2021/22_partial,1,0022100025,2021-10-22,LAL,PHX,-3.0,-1.5,226.5,222.0,-5.0,112.5,-125,105,-13.0,3.0,5.0,-2.0,4.0
2021/22_partial,1,0022100032,2021-10-23,SAS,MIL,7.5,6.0,223.5,225.5,2.5,114.5,210,-250,-4.0,-6.0,-2.5,-3.5,12.25
2021/22_partial,2,0022100025,2021-10-22,LAL,PHX,-3.0,-1.5,226.5,222.0,-5.0,112.5,-125,105,-13.0,3.0,5.0,-2.0,4.0
2021/22_partial,2,0022100042,2021-10-25,IND,MIL,3.0,1.0,10.5,229.5,-2.5,117.5,-105,-115,-9.0,-1.0,2.5,-3.5,12.25
2021/22_partial,3,0022100032,2021-10-23,SAS,MIL,7.5,6.0,223.5,225.5,2.5,114.5,210,-250,-4.0,-6.0,-2.5,-3.5,12.25
2021/22_partial,3,0022100067,2021-10-28,CHI,NYK,-4.0,-1.5,215.0,216.5,-1.0,104.5,-120,100,-4.0,3.0,1.0,2.0,4.0
2021/22_partial,4,0022100042,2021-10-25,IND,MIL,3.0,1.0,10.5,229.5,-2.5,117.5,-105,-115,-9.0,-1.0,2.5,-3.5,12.25
2021/22_partial,4,0022100067,2021-10-28,CHI,NYK,-4.0,-1.5,215.0,216.5,-1.0,104.5,-120,100,-4.0,3.0,1.0,2.0,4.0
2021/22_partial,5,0022100032,2021-10-23,SAS,MIL,7.5,6.0,223.5,225.5,2.5,114.5,210,-250,-4.0,-6.0,-2.5,-3.5,12.25
2021/22_partial,5,0022100069,2021-10-28,DAL,SAS,-6.0,-6.5,221.5,219.5,-5.0,107.0,-260,220,-2.0,7.0,5.0,2.0,4.0
2021/22_partial,6,0022100042,2021-10-25,IND,MIL,3.0,1.0,10.5,229.5,-2.5,117.5,-105,-115,-9.0,-1.0,2.5,-3.5,12.25
2021/22_partial,6,0022100069,2021-10-28,DAL,SAS,-6.0,-6.5,221.5,219.5,-5.0,107.0,-260,220,-2.0,7.0,5.0,2.0,4.0
2021/22_partial,7,0022100011,2021-10-20,UTA,OKC,-11.5,-14.0,221.5,221.5,-5.0,107.0,-1200,750,12.0,9.0,5.0,4.0,16.0
2021/22_partial,7,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,8,0022100047,2021-10-25,MIN,NOP,-5.5,-5.5,225.0,224.5,-6.0,113.5,-220,190,-11.0,2.0,6.0,-4.0,16.0
2021/22_partial,8,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,9,0022100054,2021-10-26,UTA,DEN,-7.0,-7.5,220.0,218.5,-6.0,106.5,-320,265,2.0,10.0,6.0,4.0,16.0
2021/22_partial,9,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,10,0022100059,2021-10-27,NOP,ATL,5.5,5.0,222.0,220.5,5.0,108.5,175,-200,6.0,-9.0,-5.0,-4.0,16.0
2021/22_partial,10,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,11,0022100056,2021-10-27,BOS,WAS,-4.5,-4.0,228.5,224.0,-5.0,109.0,-175,155,-10.0,1.0,5.0,-4.0,16.0
2021/22_partial,11,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,12,0022100072,2021-10-29,BKN,IND,-9.0,-8.5,223.0,223.0,-4.5,107.5,-410,340,3.0,4.0,4.5,-0.5,0.25
2021/22_partial,12,0022100074,2021-10-29,NOP,SAC,1.0,1.5,222.5,221.0,-3.0,108.5,100,-120,-11.0,7.0,3.0,4.0,16.0
2021/22_partial,13,0022100032,2021-10-23,SAS,MIL,7.5,6.0,223.5,225.5,2.5,114.5,210,-250,-4.0,-6.0,-2.5,-3.5,12.25
2021/22_partial,13,0022100078,2021-10-30,WAS,BOS,-1.5,-2.0,225.0,223.5,1.0,113.0,-130,110,6.0,-3.0,-1.0,-2.0,4.0
2021/22_partial,14,0022100042,2021-10-25,IND,MIL,3.0,1.0,10.5,229.5,-2.5,117.5,-105,-115,-9.0,-1.0,2.5,-3.5,12.25
2021/22_partial,14,0022100078,2021-10-30,WAS,BOS,-1.5,-2.0,225.0,223.5,1.0,113.0,-130,110,6.0,-3.0,-1.0,-2.0,4.0
2021/22_partial,15,0022100032,2021-10-23,SAS,MIL,7.5,6.0,223.5,225.5,2.5,114.5,210,-250,-4.0,-6.0,-2.5,-3.5,12.25
2021/22_partial,15,0022100080,2021-10-30,NOP,NYK,4.5,8.0,217.0,214.0,4.0,104.0,300,-360,-4.0,-2.0,-4.0,2.0,4.0
2021/22_partial,16,0022100042,2021-10-25,IND,MIL,3.0,1.0,10.5,229.5,-2.5,117.5,-105,-115,-9.0,-1.0,2.5,-3.5,12.25
2021/22_partial,16,0022100080,2021-10-30,NOP,NYK,4.5,8.0,217.0,214.0,4.0,104.0,300,-360,-4.0,-2.0,-4.0,2.0,4.0
2021/22_partial,17,0022100011,2021-10-20,UTA,OKC,-11.5,-14.0,221.5,221.5,-5.0,107.0,-1200,750,12.0,9.0,5.0,4.0,16.0
2021/22_partial,17,0022100088,2021-10-30,PHX,CLE,-9.5,-10.0,218.0,216.0,-5.5,105.0,-500,400,4.0,5.0,5.5,-0.5,0.25
2021/22_partial,18,0022100047,2021-10-25,MIN,NOP,-5.5,-5.5,225.0,224.5,-6.0,113.5,-220,190,-11.0,2.0,6.0,-4.0,16.0
2021/22_partial,18,0022100088,2021-10-30,PHX,CLE,-9.5,-10.0,218.0,216.0,-5.5,105.0,-500,400,4.0,5.0,5.5,-0.5,0.25
2021/22_partial,19,0022100054,2021-10-26,UTA,DEN,-7.0,-7.5,220.0,218.5,-6.0,106.5,-320,265,2.0,10.0,6.0,4.0,16.0
2021/22_partial,19,0022100088,2021-10-30,PHX,CLE,-9.5,-10.0,218.0,216.0,-5.5,105.0,-500,400,4.0,5.0,5.5,-0.5,0.25
2021/22_partial,20,0022100059,2021-10-27,NOP,ATL,5.5,5.0,222.0,220.5,5.0,108.5,175,-200,6.0,-9.0,-5.0,-4.0,16.0
2021/22_partial,20,0022100088,2021-10-30,PHX,CLE,-9.5,-10.0,218.0,216.0,-5.5,105.0,-500,400,4.0,5.0,5.5,-0.5,0.25
